Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
5/8/2017 9:30,239.75,239.78,239.7,239.73,1022,539906,129442392
5/8/2017 9:31,239.73,239.9,239.72,239.89,1193,333451,79969056
5/8/2017 9:32,239.9,239.9,239.795,239.82,722,230261,55226488
5/8/2017 9:33,239.81,239.87,239.79,239.86,496,112711,27031442
5/8/2017 9:34,239.86,239.88,239.81,239.84,716,249667,59881512
5/8/2017 9:35,239.84,239.92,239.84,239.86,795,202289,48526356
5/8/2017 9:36,239.86,239.87,239.76,239.77,677,136485,32731212
5/8/2017 9:37,239.77,239.785,239.57,239.6,1694,462830,110931128
5/8/2017 9:38,239.585,239.6,239.5,239.5,1056,281353,67400312
5/8/2017 9:39,239.5,239.55,239.48,239.51,1200,320494,76760136
5/8/2017 9:40,239.51,239.53,239.48,239.501,846,195433,46806956
5/8/2017 9:41,239.51,239.53,239.41,239.49,1002,247069,59170640
5/8/2017 9:42,239.49,239.53,239.45,239.51,820,211213,50582584
5/8/2017 9:43,239.5,239.545,239.5,239.54,423,95273,22820236
5/8/2017 9:44,239.55,239.64,239.505,239.63,1077,273296,65476528
5/8/2017 9:45,239.615,239.64,239.56,239.59,734,173730,41626456
5/8/2017 9:46,239.59,239.6,239.51,239.535,385,96321,23074120
5/8/2017 9:47,239.54,239.555,239.501,239.541,248,56833,13612803
5/8/2017 9:48,239.54,239.55,239.5,239.51,414,120973,28975598
5/8/2017 9:49,239.51,239.54,239.48,239.484,525,92430,22137992
5/8/2017 9:50,239.48,239.54,239.48,239.52,521,95680,22916360
5/8/2017 9:51,239.52,239.52,239.46,239.51,486,81318,19475190
5/8/2017 9:52,239.505,239.51,239.44,239.455,669,110696,26509510
5/8/2017 9:53,239.46,239.53,239.44,239.52,649,124354,29780860
5/8/2017 9:54,239.52,239.53,239.48,239.485,350,58461,14001580
5/8/2017 9:55,239.485,239.52,239.476,239.51,264,44953,10766184
5/8/2017 9:56,239.515,239.52,239.48,239.51,294,58512,14013618
5/8/2017 9:57,239.5,239.53,239.48,239.5,510,159268,38146192
5/8/2017 9:58,239.49,239.5,239.45,239.47,235,51912,12431498
5/8/2017 9:59,239.48,239.5,239.45,239.465,361,84909,20334030
5/8/2017 10:00,239.46,239.48,239.46,239.465,193,52655,12609116
5/8/2017 10:01,239.47,239.49,239.46,239.49,228,38201,9148104
5/8/2017 10:02,239.48,239.52,239.46,239.51,636,155822,37317632
5/8/2017 10:03,239.51,239.58,239.49,239.56,514,219215,52506876
5/8/2017 10:04,239.56,239.59,239.55,239.56,1035,290885,69685864
5/8/2017 10:05,239.56,239.57,239.52,239.545,946,185931,44537944
5/8/2017 10:06,239.55,239.57,239.53,239.54,455,83359,19968618
5/8/2017 10:07,239.54,239.6,239.53,239.595,207,32056,7679414
5/8/2017 10:08,239.59,239.595,239.54,239.56,449,97581,23377584
5/8/2017 10:09,239.56,239.59,239.56,239.57,334,70977,17004200
5/8/2017 10:10,239.56,239.58,239.54,239.57,403,69838,16730241
5/8/2017 10:11,239.57,239.58,239.54,239.57,281,45307,10853794
5/8/2017 10:12,239.57,239.57,239.51,239.52,544,95458,22865834
5/8/2017 10:13,239.52,239.52,239.45,239.45,788,160766,38501264
5/8/2017 10:14,239.45,239.47,239.41,239.44,450,128400,30743092
5/8/2017 10:15,239.44,239.47,239.42,239.43,297,60246,14425545
5/8/2017 10:16,239.44,239.46,239.41,239.46,351,61880,14816039
5/8/2017 10:17,239.455,239.485,239.45,239.47,501,103260,24727866
5/8/2017 10:18,239.46,239.51,239.46,239.495,418,105563,25280064
5/8/2017 10:19,239.5,239.52,239.47,239.49,394,76400,18297928
5/8/2017 10:20,239.48,239.51,239.47,239.505,205,42331,10137980
5/8/2017 10:21,239.5,239.52,239.47,239.5,388,96477,23106458
5/8/2017 10:22,239.49,239.5,239.45,239.479,260,46893,11229388
5/8/2017 10:23,239.47,239.48,239.415,239.47,383,84473,20226468
5/8/2017 10:24,239.47,239.472,239.43,239.46,229,41651,9973649
5/8/2017 10:25,239.45,239.48,239.44,239.46,287,51075,12230524
5/8/2017 10:26,239.46,239.49,239.44,239.46,221,54269,12995818
5/8/2017 10:27,239.461,239.498,239.46,239.46,214,52111,12479616
5/8/2017 10:28,239.46,239.465,239.39,239.44,765,157872,37798540
5/8/2017 10:29,239.44,239.45,239.42,239.44,392,86133,20623180
5/8/2017 10:30,239.43,239.47,239.39,239.45,790,167081,40004752
5/8/2017 10:31,239.445,239.455,239.37,239.42,728,176617,42281976
5/8/2017 10:32,239.43,239.44,239.4,239.42,549,181061,43350464
5/8/2017 10:33,239.43,239.5,239.42,239.5,446,91540,21919440
5/8/2017 10:34,239.5,239.53,239.47,239.5,756,147544,35337788
5/8/2017 10:35,239.5,239.53,239.48,239.51,246,52339,12535567
5/8/2017 10:36,239.51,239.512,239.47,239.47,595,158833,38039112
5/8/2017 10:37,239.48,239.491,239.45,239.45,188,49989,11970914
5/8/2017 10:38,239.451,239.495,239.451,239.495,265,52882,12664021
5/8/2017 10:39,239.497,239.507,239.47,239.49,404,80169,19199208
5/8/2017 10:40,239.49,239.5,239.45,239.5,187,38692,9265904
5/8/2017 10:41,239.495,239.52,239.46,239.52,250,57052,13663675
5/8/2017 10:42,239.525,239.58,239.52,239.57,472,112975,27063442
5/8/2017 10:43,239.565,239.585,239.56,239.57,389,82318,19721226
5/8/2017 10:44,239.57,239.63,239.56,239.6,662,195151,46756564
5/8/2017 10:45,239.6,239.615,239.585,239.61,322,96897,23216826
5/8/2017 10:46,239.6,239.61,239.565,239.575,277,75652,18124880
5/8/2017 10:47,239.575,239.61,239.57,239.61,176,64318,15409971
5/8/2017 10:48,239.61,239.61,239.57,239.57,205,35399,8481469
5/8/2017 10:49,239.57,239.585,239.54,239.54,185,38467,9215317
5/8/2017 10:50,239.545,239.56,239.44,239.44,489,98087,23491010
5/8/2017 10:51,239.43,239.475,239.42,239.44,495,155733,37288232
5/8/2017 10:52,239.45,239.46,239.37,239.37,1076,299478,71699800
5/8/2017 10:53,239.37,239.38,239.32,239.32,926,244094,58422380
5/8/2017 10:54,239.32,239.35,239.3,239.35,952,249740,59769696
5/8/2017 10:55,239.35,239.36,239.31,239.355,1466,354832,84928656
5/8/2017 10:56,239.36,239.38,239.34,239.36,436,113228,27101714
5/8/2017 10:57,239.37,239.39,239.36,239.38,407,72870,17443708
5/8/2017 10:58,239.385,239.39,239.34,239.37,247,55040,13174701
5/8/2017 10:59,239.378,239.41,239.37,239.38,390,77317,18508892
5/8/2017 11:00,239.39,239.45,239.38,239.44,487,102045,24431822
5/8/2017 11:01,239.45,239.47,239.41,239.41,306,76399,18292480
5/8/2017 11:02,239.41,239.44,239.4,239.435,250,52530,12576480
5/8/2017 11:03,239.43,239.435,239.395,239.43,348,77103,18459266
5/8/2017 11:04,239.43,239.44,239.41,239.42,235,52882,12661311
5/8/2017 11:05,239.42,239.455,239.41,239.42,227,43815,10490748
5/8/2017 11:06,239.42,239.45,239.42,239.425,190,35641,8533742
5/8/2017 11:07,239.42,239.45,239.41,239.45,268,51444,12317261
5/8/2017 11:08,239.458,239.458,239.43,239.445,113,26406,6322579
5/8/2017 11:09,239.44,239.45,239.39,239.39,674,195787,46876616
5/8/2017 11:10,239.39,239.39,239.33,239.35,306,67880,16247548
5/8/2017 11:11,239.35,239.38,239.32,239.34,298,77116,18457704
5/8/2017 11:12,239.34,239.34,239.3,239.32,379,77431,18530894
5/8/2017 11:13,239.32,239.33,239.31,239.32,131,27078,6480327
5/8/2017 11:14,239.32,239.32,239.28,239.29,308,60293,14427983
5/8/2017 11:15,239.29,239.34,239.28,239.32,1222,438687,104982256
5/8/2017 11:16,239.31,239.37,239.31,239.35,559,189218,45287748
5/8/2017 11:17,239.35,239.35,239.31,239.32,179,37234,8911127
5/8/2017 11:18,239.32,239.34,239.3,239.32,370,79687,19070186
5/8/2017 11:19,239.31,239.32,239.3,239.304,214,38414,9192908
5/8/2017 11:20,239.307,239.33,239.3,239.3,327,63886,15288599
5/8/2017 11:21,239.3,239.318,239.25,239.27,456,118728,28408164
5/8/2017 11:22,239.271,239.271,239.17,239.22,473,123622,29572208
5/8/2017 11:23,239.23,239.25,239.22,239.24,570,154560,36975848
5/8/2017 11:24,239.24,239.24,239.19,239.215,265,68530,16393352
5/8/2017 11:25,239.212,239.23,239.21,239.22,285,63443,15177018
5/8/2017 11:26,239.22,239.26,239.2,239.21,331,83232,19911426
5/8/2017 11:27,239.205,239.205,239.19,239.19,256,96959,23192076
5/8/2017 11:28,239.19,239.24,239.19,239.22,409,93495,22365420
5/8/2017 11:29,239.22,239.26,239.2,239.235,776,185603,44401684
5/8/2017 11:30,239.23,239.32,239.22,239.32,876,262449,62795328
5/8/2017 11:31,239.32,239.34,239.3,239.33,436,90801,21730184
5/8/2017 11:32,239.33,239.35,239.3,239.35,178,32696,7824930
5/8/2017 11:33,239.348,239.43,239.342,239.39,711,170710,40866008
5/8/2017 11:34,239.39,239.4,239.36,239.36,204,38803,9288750
5/8/2017 11:35,239.36,239.38,239.35,239.35,250,47243,11308387
5/8/2017 11:36,239.355,239.38,239.34,239.35,276,73696,17640180
5/8/2017 11:37,239.34,239.38,239.331,239.38,139,29378,7031666.5
5/8/2017 11:38,239.375,239.45,239.375,239.43,560,128184,30689396
5/8/2017 11:39,239.42,239.48,239.42,239.46,871,245148,58704560
5/8/2017 11:40,239.46,239.47,239.43,239.441,256,66859,16009625
5/8/2017 11:41,239.44,239.47,239.44,239.45,382,97411,23325938
5/8/2017 11:42,239.452,239.47,239.44,239.46,221,67538,16171997
5/8/2017 11:43,239.47,239.5,239.44,239.45,395,84898,20330954
5/8/2017 11:44,239.44,239.49,239.43,239.46,211,52897,12666234
5/8/2017 11:45,239.46,239.47,239.43,239.47,244,51171,12252654
5/8/2017 11:46,239.46,239.485,239.44,239.45,205,41430,9920768
5/8/2017 11:47,239.45,239.48,239.44,239.48,163,32401,7758537
