Date,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME,VALUE
5/10/2017 9:30,32.29,32.35,32.29,32.31,80,31842,1029175.313
5/10/2017 9:31,32.34,32.35,32.34,32.35,12,5860,189549.2969
5/10/2017 9:32,32.345,32.35,32.31,32.35,9,4795,155037.9531
5/10/2017 9:33,32.3,32.34,32.3,32.34,10,3160,102169.5078
5/10/2017 9:34,32.325,32.34,32.31,32.329,9,2560,82763.1406
5/10/2017 9:35,32.329,32.33,32.328,32.33,7,2260,73064.9531
5/10/2017 9:36,32.34,32.34,32.34,32.34,1,200,6468
5/10/2017 9:37,32.33,32.33,32.33,32.33,1,1000,32330.002
5/10/2017 9:38,32.335,32.34,32.335,32.34,2,1000,32337.5
5/10/2017 9:39,32.332,32.3398,32.332,32.3398,3,1464,47341.25
5/10/2017 9:40,32.338,32.338,32.335,32.335,3,900,29103.3008
5/10/2017 9:41,32.33,32.33,32.33,32.33,1,170,5496.1001
5/10/2017 9:42,32.34,32.34,32.33,32.33,3,650,21019
5/10/2017 9:43,32.336,32.34,32.32,32.34,10,1800,58198.5703
5/10/2017 9:44,32.335,32.335,32.335,32.335,1,101,3265.835
5/10/2017 9:45,32.3375,32.34,32.3375,32.34,4,1337,43238.0625
5/10/2017 9:46,32.3375,32.34,32.3375,32.34,10,3523,113932.4297
5/10/2017 9:47,32.34,32.34,32.34,32.34,1,100,3234
5/10/2017 9:48,32.339,32.339,32.3325,32.3325,3,533,17235.543
5/10/2017 9:49,32.335,32.34,32.335,32.34,3,400,12935.5
5/10/2017 9:50,32.34,32.34,32.34,32.34,3,300,9702
5/10/2017 9:52,32.3377,32.3377,32.3377,32.3377,1,308,9960.0117
5/10/2017 9:53,32.3399,32.3399,32.335,32.336,4,1006,32529.8008
5/10/2017 9:54,32.34,32.34,32.33,32.34,8,2350,75990.1016
5/10/2017 9:55,32.34,32.35,32.335,32.35,12,4600,148765.5
5/10/2017 9:56,32.35,32.35,32.345,32.345,3,450,14556.25
5/10/2017 9:57,32.35,32.35,32.35,32.35,3,4810,155603.5
5/10/2017 9:58,32.358,32.358,32.35,32.355,5,6200,200574.5
5/10/2017 9:59,32.35,32.36,32.35,32.36,13,10695,346072.2188
5/10/2017 10:00,32.368,32.37,32.36,32.37,14,3300,106801.7109
5/10/2017 10:01,32.365,32.37,32.365,32.37,4,500,16184.5
5/10/2017 10:02,32.365,32.37,32.365,32.3699,3,11200,362542.9063
5/10/2017 10:03,32.37,32.37,32.36,32.36,3,1107,35827.8828
5/10/2017 10:04,32.37,32.37,32.365,32.365,5,2963,95909.75
5/10/2017 10:05,32.3699,32.37,32.36,32.37,5,4746,153626.5156
